code,description
22BU,20 BULK CONTAINER
22GP,20 GENERAL PURPOSE CONTAINER
22HR,20 INSULATED CONTAINER
22PF,20 FLAT (FIXED ENDS)
8888,Uncontainerised
22PC,20 FLAT (COLLAPSIBLE)
22RT,20 REEFER CONTAINER
22TN,20 TANK CONTAINER
22UT,20 OPEN TOP CONTAINER
22UP,20 HARDTOP CONTAINER
22VH,20 VENTILATED CONTAINER
29PL,20 PLATFORM
42GP,40 GENERAL PURPOSE CONTAINER
42HR,40 INSULATED CONTAINER
42PF,40 FLAT (FIXED ENDS)
42PC,40 FLAT (COLLAPSIBLE)
42RT,40 REEFER CONTAINER
42TN,40 TANK CONTAINER
42UT,40 OPEN TOP CONTAINER
42UP,40 HARDTOP CONTAINER
42VH,40 VENTILATED CONTAINER
45GP,40 HIGH CUBE CONTAINER
45RT,40 REEFER HIGHCUBE CONTAINER
45UP,40 HIGH CUBE HARDTOP CONTAINER
49PL,40 PLATFORM
L5GP,45 HIGH CUBE CONTAINER
L5RT,45 REEFER HIGHCUBE CONTAINER
12TR,FLATBED
